2018-10-15T08:45:36.470Z - error: restPort (5001) is already in use
2018-10-15T08:49:53.100Z - error: restPort (5001) is already in use
2018-10-15T09:03:18.994Z - error: restPort (5001) is already in use
2018-10-15T09:03:39.660Z - error: restPort (5001) is already in use
2018-10-15T09:11:11.420Z - info: User function triggered, starting execution
2018-10-15T09:11:11.503Z - info: Execution took 103 ms, user function completed successfully
2018-10-15T09:12:40.355Z - info: User function triggered, starting execution
2018-10-15T09:12:40.714Z - info: Execution took 358 ms, user function completed successfully
2018-10-15T09:14:40.331Z - info: User function triggered, starting execution
2018-10-15T09:14:40.481Z - info: Execution took 150 ms, user function completed successfully
2018-10-15T09:16:44.341Z - info: User function triggered, starting execution
2018-10-15T09:16:44.345Z - info: Execution took 3 ms, user function completed successfully
2018-10-15T09:16:47.480Z - info: User function triggered, starting execution
2018-10-15T09:16:47.616Z - info: Execution took 136 ms, user function completed successfully
2018-10-15T09:17:06.076Z - info: User function triggered, starting execution
2018-10-15T09:17:06.079Z - info: Execution took 2 ms, user function completed successfully
2018-10-15T09:17:11.589Z - info: User function triggered, starting execution
2018-10-15T09:17:11.738Z - info: Execution took 148 ms, user function completed successfully
2018-10-15T09:20:52.134Z - info: Worker for v1 closed due to file changes.
